district_id,district_name,month,month_of_year,beds_required,available_bed_capacity,occupied_beds,unmet_demand,emergency_cases,icu_required,oxygen_required,medical_kits_required,beds_lag_1,beds_lag_2,beds_lag_3,beds_lag_12,beds_roll_3,beds_roll_12,growth_3m_pct,target_next_month_beds
D0,Jaipur,12,1,178,164,164,14,10,18,36,20,167.0,162.0,181.0,177.0,170.0,184.83333333333334,1.21212121212122,214.0
D0,Jaipur,13,2,214,164,164,50,12,26,54,23,178.0,167.0,162.0,196.0,169.0,184.91666666666666,-1.6574585635359074,203.0
D0,Jaipur,14,3,203,165,165,38,13,30,33,22,214.0,178.0,167.0,207.0,186.33333333333334,186.41666666666666,32.09876543209877,198.0
D0,Jaipur,15,4,198,159,159,39,13,22,32,25,203.0,214.0,178.0,212.0,198.33333333333334,186.08333333333334,21.5568862275449,192.0
D0,Jaipur,16,5,192,166,154,26,12,17,52,20,198.0,203.0,214.0,196.0,205.0,184.91666666666666,11.23595505617978,202.0
D0,Jaipur,17,6,202,162,162,40,18,25,34,34,192.0,198.0,203.0,188.0,197.66666666666666,184.58333333333334,-10.280373831775702,188.0
D0,Jaipur,18,7,188,159,159,29,14,21,42,26,202.0,192.0,198.0,181.0,197.33333333333334,185.75,-0.49261083743842304,195.0
D0,Jaipur,19,8,195,168,163,27,17,23,44,26,188.0,202.0,192.0,186.0,194.0,186.33333333333334,-5.05050505050505,187.0
D0,Jaipur,20,9,187,159,159,28,11,23,49,21,195.0,188.0,202.0,165.0,195.0,187.08333333333334,1.5625,179.0
D0,Jaipur,21,10,179,169,147,10,14,19,45,21,187.0,195.0,188.0,181.0,190.0,188.91666666666666,-7.425742574257422,171.0
D0,Jaipur,22,11,171,159,150,12,11,16,28,20,179.0,187.0,195.0,162.0,187.0,188.75,-4.78723404255319,164.0
D0,Jaipur,23,12,164,166,133,0,14,23,40,20,171.0,179.0,187.0,167.0,179.0,189.5,-12.307692307692308,177.0
D0,Jaipur,24,1,177,161,148,16,10,17,34,16,164.0,171.0,179.0,178.0,171.33333333333334,189.25,-12.299465240641716,209.0
D0,Jaipur,25,2,209,160,160,49,16,29,45,33,177.0,164.0,171.0,214.0,170.66666666666666,189.16666666666666,-1.1173184357541888,193.0
D0,Jaipur,26,3,193,161,161,32,12,24,50,22,209.0,177.0,164.0,203.0,183.33333333333334,188.75,22.222222222222232,212.0
D0,Jaipur,27,4,212,169,169,43,18,31,39,35,193.0,209.0,177.0,198.0,193.0,187.91666666666666,17.682926829268286,207.0
D0,Jaipur,28,5,207,168,168,39,17,20,36,30,212.0,193.0,209.0,192.0,204.66666666666666,189.08333333333334,19.774011299435035,201.0
D0,Jaipur,29,6,201,162,161,39,13,22,48,20,207.0,212.0,193.0,202.0,204.0,190.33333333333334,-0.9569377990430672,206.0
D0,Jaipur,30,7,206,163,163,43,15,22,53,28,201.0,207.0,212.0,188.0,206.66666666666666,190.25,4.145077720207246,199.0
D0,Jaipur,31,8,199,164,164,35,12,25,38,21,206.0,201.0,207.0,195.0,204.66666666666666,191.75,-2.8301886792452824,184.0
D0,Jaipur,32,9,184,167,160,17,15,21,31,29,199.0,206.0,201.0,187.0,202.0,192.08333333333334,-3.864734299516903,170.0
